url,comments,created_at,updated_at,active_time,closed_at,commits,additions,deletions,changed_files,merged,closed,open,reviews_not_bot,review_prepro,negativeRe,neutralRe,positiveRe,compoundRe,,,compound_overall
https://api.github.com/repos/squteronsquter/laravel-postcss-bootstrap-tailwind-purgecss-extract-versioning-cache-buster/pulls/2,0,2019-12-03T23:17:52Z,2023-02-03T16:11:11Z,100025599,,1,76,13,1,0,0,1,,,,,,,,,
https://api.github.com/repos/VanJoshElanium/SAD2/pulls/50,0,2019-12-03T21:57:13Z,2023-02-03T12:15:28Z,100016295,,1,556,16,1,0,0,1,,,,,,,,,
https://api.github.com/repos/selyakovadim/exchanger/pulls/1,0,2019-12-04T00:46:56Z,2023-02-03T12:02:55Z,100005359,,1,77,16,1,0,0,1,,,,,,,,,
https://api.github.com/repos/Donneh/Aurorus/pulls/2,0,2019-12-03T21:59:33Z,2023-02-03T11:46:39Z,100014426,,1,76,15,1,0,0,1,,,,,,,,,
https://api.github.com/repos/EmilRegis/auezovinstitute.kz/pulls/4,0,2019-12-03T19:44:40Z,2023-02-03T11:01:50Z,100019830,,1,42,39,1,0,0,1,,,,,,,,,
https://api.github.com/repos/deastz/TUBCweb/pulls/3,0,2019-12-03T21:45:00Z,2023-02-03T10:31:35Z,100010795,,1,76,15,1,0,0,1,,,,,,,,,
https://api.github.com/repos/junming4/payorder/pulls/2,0,2019-12-03T21:52:34Z,2023-02-03T10:20:16Z,100009662,,1,166,105,1,0,0,1,,,,,,,,,
https://api.github.com/repos/BenHenderson09/Larvel-Blog/pulls/4,0,2019-12-03T21:57:16Z,2023-02-03T10:16:13Z,100009137,,1,138,13,1,0,0,1,,,,,,,,,
https://api.github.com/repos/axeltux/api-laravel/pulls/2,0,2019-12-03T23:33:23Z,2023-02-03T09:30:32Z,100000629,,1,76,13,1,0,0,1,,,,,,,,,
https://api.github.com/repos/najir85/TuitionApp/pulls/3,0,2019-12-03T22:46:48Z,2023-02-03T09:17:54Z,100002666,,1,77,14,1,0,0,1,,,,,,,,,
https://api.github.com/repos/talesandrade/facebook-php-graph-sdk-example/pulls/1,0,2019-12-03T21:56:37Z,2023-02-03T08:59:22Z,100004565,,1,76,15,1,0,0,1,,,,,,,,,
https://api.github.com/repos/alamariful1727/OnlineCarRent-Laravel/pulls/2,0,2019-12-03T22:09:53Z,2023-02-03T08:10:32Z,100000839,,1,77,14,1,0,0,1,,,,,,,,,
https://api.github.com/repos/samirfragozo/medical/pulls/8,0,2019-12-02T21:53:30Z,2023-02-03T08:01:27Z,100087677,,1,77,14,1,0,0,1,,,,,,,,,
https://api.github.com/repos/omarmorales/hfjer/pulls/4,0,2019-12-03T04:01:45Z,2023-02-03T07:38:08Z,100064183,,1,138,13,1,0,0,1,,,,,,,,,
https://api.github.com/repos/vessoni/Laravel-Ionic-Teste/pulls/1,0,2019-12-03T21:50:20Z,2023-02-03T06:07:40Z,99994640,,1,76,15,1,0,0,1,,,,,,,,,
https://api.github.com/repos/orgmanager/orgmanager/pulls/514,0,2019-12-03T19:29:03Z,2023-02-03T05:52:00Z,100002177,,1,54,50,1,0,0,1,,,,,,,,,
https://api.github.com/repos/MartinChobanyan/learn_laravel/pulls/3,0,2019-12-03T18:41:19Z,2023-02-03T05:01:09Z,100001990,,1,139,14,1,0,0,1,,,,,,,,,
https://api.github.com/repos/PhyoLinMg/cbs/pulls/2,0,2019-12-03T17:03:00Z,2023-02-03T04:57:30Z,100007670,,1,139,14,1,0,0,1,,,,,,,,,
https://api.github.com/repos/isntw/justsolution.ro/pulls/1,0,2019-12-03T22:04:26Z,2023-02-03T15:22:11Z,100027065,,1,76,15,1,0,0,1,,,,,,,,,
https://api.github.com/repos/tag-dijital-ajans/insaatproje/pulls/2,0,2019-12-03T22:07:43Z,2023-02-03T14:40:30Z,100024367,,1,138,13,1,0,0,1,,,,,,,,,
https://api.github.com/repos/NguyenAntoine/bracelet/pulls/4,0,2019-12-03T22:35:27Z,2023-02-03T10:03:02Z,100006055,,1,195,69,1,0,0,1,,,,,,,,,
https://api.github.com/repos/logisticinfotech/Laravel-Vue-Js-Draggable-and-Timer-Component/pulls/2,0,2019-12-03T23:07:22Z,2023-02-03T09:32:33Z,100002311,,1,139,14,1,0,0,1,,,,,,,,,
https://api.github.com/repos/webdev-girl/tweeter2/pulls/3,0,2019-12-03T22:19:58Z,2023-02-03T08:40:18Z,100002020,,1,138,13,1,0,0,1,,,,,,,,,
https://api.github.com/repos/maal26/laravel-forum/pulls/4,0,2019-12-03T22:27:11Z,2023-02-03T08:28:15Z,100000864,,1,78,14,1,0,0,1,,,,,,,,,
https://api.github.com/repos/gersonjonesponsica/react-laravel-authentication/pulls/5,0,2019-12-03T22:51:25Z,2023-02-03T08:24:27Z,99999182,,1,149,24,1,0,0,1,,,,,,,,,
https://api.github.com/repos/bonlover/laravel_qa/pulls/4,0,2019-12-03T22:06:56Z,2023-02-03T08:05:38Z,100000722,,1,77,14,1,0,0,1,,,,,,,,,
https://api.github.com/repos/glennespejo/coop-elect/pulls/1,0,2019-12-03T21:27:34Z,2023-02-03T06:28:52Z,99997278,,1,79,18,1,0,0,1,,,,,,,,,
https://api.github.com/repos/alamariful1727/DonateForHumanity-Laravel/pulls/3,0,2019-12-03T22:45:55Z,2023-02-03T06:13:22Z,99991647,,1,77,14,1,0,0,1,,,,,,,,,
https://api.github.com/repos/ahmedemam/Library-Management-System/pulls/14,0,2019-12-03T22:35:15Z,2023-02-03T05:33:30Z,99989895,,1,77,14,1,0,0,1,,,,,,,,,
https://api.github.com/repos/MekDrop/JobTest-Teltonika-TodoAppWithRESTApiCalls/pulls/6,0,2019-12-03T22:22:45Z,2023-02-03T05:22:36Z,99989991,,1,140,15,1,0,0,1,,,,,,,,,
https://api.github.com/repos/xcitic/Laravel/pulls/15,0,2019-12-03T22:33:17Z,2023-02-03T03:51:58Z,99983921,,1,26,24,1,0,0,1,,,,,,,,,
https://api.github.com/repos/ncxn/d8/pulls/2,0,2019-12-04T00:02:52Z,2023-02-03T17:27:07Z,100027455,,1,2127,2072,1,0,0,1,,,,,,,,,
https://api.github.com/repos/hetkpatel96/PanelsLaravel/pulls/2,0,2019-12-03T11:44:23Z,2023-02-03T16:54:59Z,100069836,,1,139,14,1,0,0,1,,,,,,,,,
https://api.github.com/repos/FredericBentz/blog/pulls/19,0,2019-12-03T23:01:44Z,2023-02-03T16:22:38Z,100027254,,1,76,13,1,0,0,1,,,,,,,,,
https://api.github.com/repos/kawsarmobin/task-managing-system/pulls/2,0,2019-12-03T23:20:20Z,2023-02-03T16:02:51Z,100024951,,1,76,13,1,0,0,1,,,,,,,,,
https://api.github.com/repos/webdev-girl/askrachelbelle/pulls/2,0,2019-12-03T07:34:30Z,2023-02-03T16:01:17Z,100081607,,1,76,13,1,0,0,1,,,,,,,,,
https://api.github.com/repos/rakiburrimon/employee-management-Demo/pulls/3,0,2019-12-04T00:34:04Z,2023-02-03T15:01:17Z,100016833,,1,83,21,1,0,0,1,,,,,,,,,
https://api.github.com/repos/taflahi/dashboard/pulls/3,0,2019-12-03T20:46:10Z,2023-02-03T12:09:48Z,100020218,,1,146,86,1,0,0,1,,,,,,,,,
https://api.github.com/repos/gdgd/TemplateSendOut/pulls/13,0,2019-12-03T21:50:04Z,2023-02-03T11:51:29Z,100015285,,1,76,15,1,0,0,1,,,,,,,,,
https://api.github.com/repos/TsaNikola/A-Web-based-Social-Network-for-Movie-Fans/pulls/12,0,2019-12-03T22:18:01Z,2023-02-03T11:40:27Z,100012946,,1,76,15,1,0,0,1,,,,,,,,,
https://api.github.com/repos/ian-travers/tickets/pulls/3,0,2019-12-03T23:17:58Z,2023-02-03T11:01:20Z,100007002,,1,78,15,1,0,0,1,,,,,,,,,
https://api.github.com/repos/Octopus-Works/siffa/pulls/42,0,2019-12-03T09:38:26Z,2023-02-03T10:24:20Z,100053954,,1,42,39,1,0,0,1,,,,,,,,,
https://api.github.com/repos/marwan1496/laravelTodoList/pulls/2,0,2019-12-03T18:51:12Z,2023-02-03T09:36:23Z,100017911,,1,139,14,1,0,0,1,,,,,,,,,
https://api.github.com/repos/fabriciozeferino/project1/pulls/1,0,2019-12-03T18:19:39Z,2023-02-03T09:07:21Z,100018062,,1,139,14,1,0,0,1,,,,,,,,,
https://api.github.com/repos/udu13233/blog/pulls/1,0,2019-12-03T21:52:12Z,2023-02-03T08:14:26Z,100002134,,1,139,14,1,0,0,1,,,,,,,,,
https://api.github.com/repos/truongatv/spa-forum/pulls/2,0,2019-12-03T10:48:10Z,2023-02-03T08:13:50Z,100041940,,1,138,13,1,0,0,1,,,,,,,,,
https://api.github.com/repos/bazzil29/traffic-backend/pulls/3,0,2019-12-04T00:16:15Z,2023-02-03T06:12:25Z,99986170,,1,77,16,1,0,0,1,,,,,,,,,
https://api.github.com/repos/vexa256/vuejs/pulls/2,0,2019-12-03T23:27:15Z,2023-02-03T05:42:29Z,99987314,,1,76,13,1,0,0,1,,,,,,,,,
https://api.github.com/repos/breitsmiley/te_image_grabber/pulls/7,0,2019-12-03T22:33:26Z,2023-02-03T04:19:19Z,99985553,,1,76,13,1,0,0,1,,,,,,,,,
https://api.github.com/repos/victorcui96/job-application-tracker/pulls/3,0,2019-12-03T20:56:47Z,2023-02-03T17:21:27Z,100038280,,1,77,16,1,0,0,1,,,,,,,,,
https://api.github.com/repos/fernandesd/formas/pulls/2,0,2019-12-03T22:15:24Z,2023-02-03T17:00:59Z,100032335,,1,138,13,1,0,0,1,,,,,,,,,
https://api.github.com/repos/yuriolive/huddol-backend/pulls/2,0,2019-12-03T22:18:22Z,2023-02-03T16:57:14Z,100031932,,1,138,13,1,0,0,1,,,,,,,,,
https://api.github.com/repos/CHOUAKIsalim/Rest-Api-Laravel/pulls/2,0,2019-12-03T20:03:55Z,2023-02-03T16:52:42Z,100039727,,1,41,38,1,0,0,1,,,,,,,,,
https://api.github.com/repos/anasbajjouk/Bikes/pulls/2,0,2019-12-03T23:18:10Z,2023-02-03T14:42:34Z,100020264,,1,82,23,1,0,0,1,,,,,,,,,
https://api.github.com/repos/naharmohsina/Tour-Mate-Final-/pulls/2,0,2019-12-03T22:56:46Z,2023-02-03T14:29:19Z,100020753,,1,138,13,1,0,0,1,,,,,,,,,
https://api.github.com/repos/tibecvp/crud-laravel/pulls/6,0,2019-12-03T04:42:37Z,2023-02-03T14:27:43Z,100086306,,1,77,16,1,0,0,1,,,,,,,,,
https://api.github.com/repos/aryadiahmad4689/travel-laravel/pulls/1,0,2019-12-03T23:43:49Z,2023-02-03T12:20:46Z,100010217,,1,138,13,1,0,0,1,,,,,,,,,
https://api.github.com/repos/BruceGoodGuy/khoauth/pulls/1,0,2019-12-03T22:18:19Z,2023-02-03T11:58:41Z,100014022,,1,76,15,1,0,0,1,,,,,,,,,
https://api.github.com/repos/chimenk/laravel-boilerplate/pulls/6,0,2019-12-03T22:04:35Z,2023-02-03T11:56:55Z,100014740,,1,138,13,1,0,0,1,,,,,,,,,
https://api.github.com/repos/Mik9531/PW-Paginas-Web/pulls/6,0,2019-12-03T17:32:50Z,2023-02-03T11:48:50Z,100030560,,1,214,25,1,0,0,1,,,,,,,,,
https://api.github.com/repos/Mik9531/PW-Paginas-Web/pulls/7,0,2019-12-04T00:06:09Z,2023-02-03T11:48:49Z,100006960,,1,2174,2115,1,0,0,1,,,,,,,,,
https://api.github.com/repos/adibest/lar-ust/pulls/3,0,2019-12-03T22:06:48Z,2023-02-03T11:43:16Z,100013788,,1,77,14,1,0,0,1,,,,,,,,,
https://api.github.com/repos/divyanshukr96/portfolio-daman-backend/pulls/2,0,2019-12-03T22:22:47Z,2023-02-03T11:10:49Z,100010882,,1,77,14,1,0,0,1,,,,,,,,,
https://api.github.com/repos/elramus/laravel-typescript-react-boilerplate/pulls/4,0,2019-12-02T23:15:07Z,2023-02-03T09:09:51Z,100086884,,1,37,34,1,0,0,1,,,,,,,,,
https://api.github.com/repos/nixonnht/mapi/pulls/3,0,2019-12-03T07:14:37Z,2023-02-03T08:51:42Z,100057025,,1,76,13,1,0,0,1,,,,,,,,,
